action,projectSlug,unitNo,layoutCode,towerNumber,phaseName,floor,stack,displaySequence,builtUpSqft,landAreaSqft,dimensionText,facing,positionType,carparkCount,carparkLotNo,carparkType,lotTypeCode,bookingStatusCode,basePrice,finalPrice
create,m-grand-minori-pelangi,A-15-02,TYPE_B,TOWER-A,,15,02,38,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-15-03,TYPE_D1,TOWER-A,,15,03,39,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-15-05,TYPE_E,TOWER-A,,15,05,40,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-15-06,TYPE_B,TOWER-A,,15,06,41,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-15-07,TYPE_B,TOWER-A,,15,07,42,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-15-08,TYPE_C,TOWER-A,,15,08,43,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-15-09,TYPE_D1,TOWER-A,,15,09,44,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-15-10,TYPE_E,TOWER-A,,15,10,45,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-15-11,TYPE_A,TOWER-A,,15,11,46,403.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-15-12,TYPE_C,TOWER-A,,15,12,47,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-15-13,TYPE_C,TOWER-A,,15,13,48,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-15-15,TYPE_C,TOWER-A,,15,15,49,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-15-16,TYPE_C,TOWER-A,,15,16,50,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-15-17,TYPE_E,TOWER-A,,15,17,51,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-15-18,TYPE_E,TOWER-A,,15,18,52,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-15-19,TYPE_D,TOWER-A,,15,19,53,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-15-20,TYPE_D,TOWER-A,,15,20,54,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-16-01,TYPE_B,TOWER-A,,16,01,55,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-16-02,TYPE_B,TOWER-A,,16,02,56,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-16-03,TYPE_D1,TOWER-A,,16,03,57,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-16-05,TYPE_E,TOWER-A,,16,05,58,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-16-06,TYPE_B,TOWER-A,,16,06,59,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-16-07,TYPE_B,TOWER-A,,16,07,60,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-16-08,TYPE_C,TOWER-A,,16,08,61,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-16-09,TYPE_D1,TOWER-A,,16,09,62,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-16-10,TYPE_E,TOWER-A,,16,10,63,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-16-11,TYPE_A,TOWER-A,,16,11,64,403.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-16-12,TYPE_C,TOWER-A,,16,12,65,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-16-13,TYPE_C,TOWER-A,,16,13,66,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-16-15,TYPE_C,TOWER-A,,16,15,67,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-16-16,TYPE_C,TOWER-A,,16,16,68,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-16-17,TYPE_E,TOWER-A,,16,17,69,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-16-18,TYPE_E,TOWER-A,,16,18,70,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-16-19,TYPE_D,TOWER-A,,16,19,71,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-16-20,TYPE_D,TOWER-A,,16,20,72,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-17-01,TYPE_B,TOWER-A,,17,01,73,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-17-02,TYPE_B,TOWER-A,,17,02,74,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-17-03,TYPE_D1,TOWER-A,,17,03,75,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-17-05,TYPE_E,TOWER-A,,17,05,76,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-17-06,TYPE_B,TOWER-A,,17,06,77,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-17-07,TYPE_B,TOWER-A,,17,07,78,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-17-08,TYPE_C,TOWER-A,,17,08,79,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-17-09,TYPE_D1,TOWER-A,,17,09,80,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-17-10,TYPE_E,TOWER-A,,17,10,81,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-17-11,TYPE_A,TOWER-A,,17,11,82,403.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-17-12,TYPE_C,TOWER-A,,17,12,83,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-17-13,TYPE_C,TOWER-A,,17,13,84,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-17-15,TYPE_C,TOWER-A,,17,15,85,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-17-16,TYPE_C,TOWER-A,,17,16,86,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-17-17,TYPE_E,TOWER-A,,17,17,87,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-17-18,TYPE_E,TOWER-A,,17,18,88,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-17-19,TYPE_D,TOWER-A,,17,19,89,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-17-20,TYPE_D,TOWER-A,,17,20,90,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-18-01,TYPE_B,TOWER-A,,18,01,91,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-18-02,TYPE_B,TOWER-A,,18,02,92,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-18-03,TYPE_D1,TOWER-A,,18,03,93,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-18-05,TYPE_E,TOWER-A,,18,05,94,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-18-06,TYPE_B,TOWER-A,,18,06,95,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-18-07,TYPE_B,TOWER-A,,18,07,96,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-18-08,TYPE_C,TOWER-A,,18,08,97,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-18-09,TYPE_D1,TOWER-A,,18,09,98,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-18-10,TYPE_E,TOWER-A,,18,10,99,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-18-11,TYPE_A,TOWER-A,,18,11,100,403.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-18-12,TYPE_C,TOWER-A,,18,12,101,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-18-13,TYPE_C,TOWER-A,,18,13,102,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-18-15,TYPE_C,TOWER-A,,18,15,103,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-18-16,TYPE_C,TOWER-A,,18,16,104,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-18-17,TYPE_E,TOWER-A,,18,17,105,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-18-18,TYPE_E,TOWER-A,,18,18,106,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-18-19,TYPE_D,TOWER-A,,18,19,107,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-18-20,TYPE_D,TOWER-A,,18,20,108,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-19-01,TYPE_B,TOWER-A,,19,01,109,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-19-02,TYPE_B,TOWER-A,,19,02,110,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-19-03,TYPE_D1,TOWER-A,,19,03,111,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-19-05,TYPE_E,TOWER-A,,19,05,112,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-19-06,TYPE_B,TOWER-A,,19,06,113,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-19-07,TYPE_B,TOWER-A,,19,07,114,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-19-08,TYPE_C,TOWER-A,,19,08,115,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-19-09,TYPE_D1,TOWER-A,,19,09,116,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-19-10,TYPE_E,TOWER-A,,19,10,117,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-19-11,TYPE_A,TOWER-A,,19,11,118,403.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-19-12,TYPE_C,TOWER-A,,19,12,119,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-19-13,TYPE_C,TOWER-A,,19,13,120,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-19-15,TYPE_C,TOWER-A,,19,15,121,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-19-16,TYPE_C,TOWER-A,,19,16,122,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-19-17,TYPE_E,TOWER-A,,19,17,123,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-19-18,TYPE_E,TOWER-A,,19,18,124,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-19-19,TYPE_D,TOWER-A,,19,19,125,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-19-20,TYPE_D,TOWER-A,,19,20,126,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-20-01,TYPE_B,TOWER-A,,20,01,127,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-20-02,TYPE_B,TOWER-A,,20,02,128,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-20-03,TYPE_D1,TOWER-A,,20,03,129,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-20-05,TYPE_E,TOWER-A,,20,05,130,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-20-06,TYPE_B,TOWER-A,,20,06,131,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-20-07,TYPE_B,TOWER-A,,20,07,132,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-20-08,TYPE_C,TOWER-A,,20,08,133,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-20-09,TYPE_D1,TOWER-A,,20,09,134,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-20-10,TYPE_E,TOWER-A,,20,10,135,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-20-11,TYPE_A,TOWER-A,,20,11,136,403.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-20-12,TYPE_C,TOWER-A,,20,12,137,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-20-13,TYPE_C,TOWER-A,,20,13,138,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-20-15,TYPE_C,TOWER-A,,20,15,139,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-20-16,TYPE_C,TOWER-A,,20,16,140,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-20-17,TYPE_E,TOWER-A,,20,17,141,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-20-18,TYPE_E,TOWER-A,,20,18,142,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-20-19,TYPE_D,TOWER-A,,20,19,143,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-20-20,TYPE_D,TOWER-A,,20,20,144,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-21-01,TYPE_B,TOWER-A,,21,01,145,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-21-02,TYPE_B,TOWER-A,,21,02,146,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-21-03,TYPE_D1,TOWER-A,,21,03,147,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-21-05,TYPE_E,TOWER-A,,21,05,148,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-21-06,TYPE_B,TOWER-A,,21,06,149,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-21-07,TYPE_B,TOWER-A,,21,07,150,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-21-08,TYPE_C,TOWER-A,,21,08,151,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-21-09,TYPE_D1,TOWER-A,,21,09,152,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-21-10,TYPE_E,TOWER-A,,21,10,153,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-21-11,TYPE_A,TOWER-A,,21,11,154,403.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-21-12,TYPE_C,TOWER-A,,21,12,155,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-21-13,TYPE_C,TOWER-A,,21,13,156,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-21-15,TYPE_C,TOWER-A,,21,15,157,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-21-16,TYPE_C,TOWER-A,,21,16,158,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-21-17,TYPE_E,TOWER-A,,21,17,159,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-21-18,TYPE_E,TOWER-A,,21,18,160,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-21-19,TYPE_D,TOWER-A,,21,19,161,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-21-20,TYPE_D,TOWER-A,,21,20,162,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-22-01,TYPE_B,TOWER-A,,22,01,163,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-22-02,TYPE_B,TOWER-A,,22,02,164,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-22-03,TYPE_D1,TOWER-A,,22,03,165,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-22-05,TYPE_E,TOWER-A,,22,05,166,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-22-06,TYPE_B,TOWER-A,,22,06,167,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-22-07,TYPE_B,TOWER-A,,22,07,168,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-22-08,TYPE_C,TOWER-A,,22,08,169,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-22-09,TYPE_D1,TOWER-A,,22,09,170,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-22-10,TYPE_E,TOWER-A,,22,10,171,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-22-11,TYPE_A,TOWER-A,,22,11,172,403.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-22-12,TYPE_C,TOWER-A,,22,12,173,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-22-13,TYPE_C,TOWER-A,,22,13,174,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-22-15,TYPE_C,TOWER-A,,22,15,175,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-22-16,TYPE_C,TOWER-A,,22,16,176,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-22-17,TYPE_E,TOWER-A,,22,17,177,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-22-18,TYPE_E,TOWER-A,,22,18,178,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-22-19,TYPE_D,TOWER-A,,22,19,179,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-22-20,TYPE_D,TOWER-A,,22,20,180,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-23-01,TYPE_B,TOWER-A,,23,01,181,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-23-02,TYPE_B,TOWER-A,,23,02,182,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-23-03,TYPE_D1,TOWER-A,,23,03,183,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-23-05,TYPE_E,TOWER-A,,23,05,184,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-23-06,TYPE_B,TOWER-A,,23,06,185,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-23-07,TYPE_B,TOWER-A,,23,07,186,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-23-08,TYPE_C,TOWER-A,,23,08,187,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-23-09,TYPE_D1,TOWER-A,,23,09,188,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-23-10,TYPE_E,TOWER-A,,23,10,189,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-23-11,TYPE_A,TOWER-A,,23,11,190,403.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-23-12,TYPE_C,TOWER-A,,23,12,191,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-23-13,TYPE_C,TOWER-A,,23,13,192,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-23-15,TYPE_C,TOWER-A,,23,15,193,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-23-16,TYPE_C,TOWER-A,,23,16,194,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-23-17,TYPE_E,TOWER-A,,23,17,195,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-23-18,TYPE_E,TOWER-A,,23,18,196,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-23-19,TYPE_D,TOWER-A,,23,19,197,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-23-20,TYPE_D,TOWER-A,,23,20,198,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-24-01,TYPE_B,TOWER-A,,24,01,199,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-24-02,TYPE_B,TOWER-A,,24,02,200,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-24-03,TYPE_D1,TOWER-A,,24,03,201,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-24-05,TYPE_E,TOWER-A,,24,05,202,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-24-06,TYPE_B,TOWER-A,,24,06,203,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-24-07,TYPE_B,TOWER-A,,24,07,204,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-24-08,TYPE_C,TOWER-A,,24,08,205,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-24-09,TYPE_D1,TOWER-A,,24,09,206,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-24-10,TYPE_E,TOWER-A,,24,10,207,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-24-11,TYPE_A,TOWER-A,,24,11,208,403.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-24-12,TYPE_C,TOWER-A,,24,12,209,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-24-13,TYPE_C,TOWER-A,,24,13,210,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-24-15,TYPE_C,TOWER-A,,24,15,211,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-24-16,TYPE_C,TOWER-A,,24,16,212,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-24-17,TYPE_E,TOWER-A,,24,17,213,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-24-18,TYPE_E,TOWER-A,,24,18,214,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-24-19,TYPE_D,TOWER-A,,24,19,215,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-24-20,TYPE_D,TOWER-A,,24,20,216,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-25-01,TYPE_B,TOWER-A,,25,01,217,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-25-02,TYPE_B,TOWER-A,,25,02,218,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-25-03,TYPE_D1,TOWER-A,,25,03,219,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-25-05,TYPE_E,TOWER-A,,25,05,220,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-25-06,TYPE_B,TOWER-A,,25,06,221,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-25-07,TYPE_B,TOWER-A,,25,07,222,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-25-08,TYPE_C,TOWER-A,,25,08,223,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-25-09,TYPE_D1,TOWER-A,,25,09,224,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-25-10,TYPE_E,TOWER-A,,25,10,225,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-25-11,TYPE_A,TOWER-A,,25,11,226,403.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-25-12,TYPE_C,TOWER-A,,25,12,227,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-25-13,TYPE_C,TOWER-A,,25,13,228,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-25-15,TYPE_C,TOWER-A,,25,15,229,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-25-16,TYPE_C,TOWER-A,,25,16,230,624.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-25-17,TYPE_E,TOWER-A,,25,17,231,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-25-18,TYPE_E,TOWER-A,,25,18,232,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-25-19,TYPE_D,TOWER-A,,25,19,233,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-25-20,TYPE_D,TOWER-A,,25,20,234,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-26-01,TYPE_B,TOWER-A,,26,01,235,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-26-02,TYPE_B,TOWER-A,,26,02,236,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-26-03,TYPE_D1,TOWER-A,,26,03,237,630.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-26-05,TYPE_E,TOWER-A,,26,05,238,835.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-26-06,TYPE_B,TOWER-A,,26,06,239,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-26-07,TYPE_B,TOWER-A,,26,07,240,496.00,,,,,,,,,,,
create,m-grand-minori-pelangi,A-26-08,TYPE_C,TOWER-A,,26,08,241,624.00,,,,,,,,,,,
